name,company_name,m2,gross_max_power,lon,lat,Punktgeometrie (als WKT)
Hellas Sat,Thomas Kalamaris,400,200,23.8758269,37.9308599,POINT (23.8758269 37.9308599)
Koropi,Sparkle,,,23.8726503,37.9011442,POINT (23.8726503 37.9011442)
Athens 1,Lamda Hellix Data Centers,,,23.7909279,38.0284516,POINT (23.7909279 38.0284516)
Athens 2,Lamda Hellix Data Centers,,,23.763242,37.988529,POINT (23.763242 37.988529)
Nuuk,TELE Greenland,,,-51.721407,64.18362,POINT (-51.721407 64.18362)
Châteauroux,Google,100000,2000000,1.764438,46.790121,POINT (1.764438 46.790121)
Prosoluce SG1,Prosoluce,300,2000,0.7551773068847645,43.1167657431412,POINT (0.7551773068847645 43.1167657431412)
TDF Datacenter Paris Fort de Romainville,TDF,300,1600,2.4224496343933177,48.88539751196825,POINT (2.4224496343933177 48.88539751196825)
Blue - Chateaubourg,Blue,2200m2,10000 serveurs,-1.403764,48.100625,POINT (-1.403764 48.100625)
Information Campus of Lognes,Sungard,3500,1280,2.641542,48.836688,POINT (2.641542 48.836688)
Lognes Users Center,Sungard,1350,150,2.641542,48.836688,POINT (2.641542 48.836688)
Ville de Dax,VILLE DE DAX,,,-1.0506819,43.7088848,POINT (-1.0506819 43.7088848)
Total Pau,TOTAL PAU,,,-0.3151099,43.3208174,POINT (-0.3151099 43.3208174)
Dassault Mérignac,DASSAULT,,,-0.7034680999999999,44.8476941,POINT (-0.7034680999999999 44.8476941)
Aéroport de Toulouse-Blagnace,Aéroport de Toulouse-Blagnac,,,1.367682,43.6293863,POINT (1.367682 43.6293863)
Fil d'Ariane,e-tera,,,2.315064,48.748174,POINT (2.315064 48.748174)
SDIS,SDIS Service Départemental d'Incendie et de Secours,,,1.3580201,43.5929244,POINT (1.3580201 43.5929244)
INEONET,INEONET,,,1.649172,43.081955,POINT (1.649172 43.081955)
CTI,Centre Traitement Informatique Sud,,,4.331971999999999,46.21022079999999,POINT (4.331971999999999 46.21022079999999)
BMS Bristol Myers Squibb,BMS Bristol Myers Squibb,,,0.6177471999999999,44.1932568,POINT (0.6177471999999999 44.1932568)
ADITU IZARBEL,ADITU IZARBEL,,,-1.553745,43.4467151,POINT (-1.553745 43.4467151)
Coaxis ASP,Coaxis,,,0.2325907,44.4574302,POINT (0.2325907 44.4574302)
CIS VALLEY,CIS VALLEY,,,-0.6063641,44.8890199,POINT (-0.6063641 44.8890199)
CHEOPS Canéjan,CHEOPS TECHNOLOGY,,,-0.657613,44.7739773,POINT (-0.657613 44.7739773)
ASL site du Haillan ,ArianeGroup,,,-0.6996167000000001,44.8609871,POINT (-0.6996167000000001 44.8609871)
Mougins,Titan Datacenters,,,6.9683003,43.5955821,POINT (6.9683003 43.5955821)
Woippy,Arcan Networks,100,,6.171404,49.1487786,POINT (6.171404 49.1487786)
Picardie,Ikoula,,0,3.347402,49.075384,POINT (3.347402 49.075384)
Tremblay,CenturyLink,,,2.557211,48.979952,POINT (2.557211 48.979952)
Keradrivin,Vodafone Group Plc,,,-3.498162,48.746483,POINT (-3.498162 48.746483)
Futuroscope,Datacampus,,,0.357226819,46.66149326,POINT (0.357226819 46.66149326)
Trappes,SFR,,,2.001844,48.776731,POINT (2.001844 48.776731)
TDF Datacenter Rennes Cesson,TDF,400,600,-1.627392,48.12480799999999,POINT (-1.627392 48.12480799999999)
TDF Datacenter Lille Lambersart,TDF,300,500,3.042616700000001,50.64752790000001,POINT (3.042616700000001 50.64752790000001)
TDF Datacenter Bordeaux Bouliac,TDF,500,1000,-0.5037963999999999,44.8189387,POINT (-0.5037963999999999 44.8189387)
TDF Datacenter Aix Marseille,TDF,500,900,5.3254643,43.4618489,POINT (5.3254643 43.4618489)
Montrouge Users Rescue Center,Sungard,1400,255,2.328717,48.81615,POINT (2.328717 48.81615)
Normandie 2,Orange,5000,,1.1888758,49.2642027,POINT (1.1888758 49.2642027)
FirstHeberg,Techcréa Solutions,,,3.5218529,50.3701335,POINT (3.5218529 50.3701335)
10 Rue des Freres Peugeot,Zayo Group LLC,445,300,1.4870551,43.6255034,POINT (1.4870551 43.6255034)
Ramonville,NFrance,,,1.4784139,43.543794,POINT (1.4784139 43.543794)
Saint Trivier sur Moignan,Maxnod,,,4.9072331,46.0715079,POINT (4.9072331 46.0715079)
Sotteville les Rouen,WEBAXYS,,,1.09766,49.4097453,POINT (1.09766 49.4097453)
Bozouls,Inforsud,,,2.6297222,44.4361111,POINT (2.6297222 44.4361111)
Roanne,NumeriParc,,,4.080863,46.05931,POINT (4.080863 46.05931)
Villepinte,Telia Carrier,,,2.542867,48.960226,POINT (2.542867 48.960226)
Montreuil,Saveho,,,2.4201714,48.8510804,POINT (2.4201714 48.8510804)
Narbonne,Interoute,,,2.3813621,43.0724667,POINT (2.3813621 43.0724667)
